Type,Execs,Cores,TotalCores,MemGB,Data,AppID,S1,S2,S3,S4,S5a,S5b,S6a,S6b,TotalTime,AppTimeMs,ExecRunTimeMs,Parallelism,GCms,GCRatio,ShuffleReadMs,ShuffleWriteMs,CommMs,Run,CommRatio,ComputeMs,ComputeRatio,MemSpillMB,DiskSpillMB,PeakHeapMB
Strong,2,4,8,8,small_2,application_1772492797887_0357,85.553360,20.727106,175.718290,167.105655,205.469384,157.657302,37.100630,158.363302,1008.962664,1022818,6727207,6.58,128147,0.019,24306,6879.940159,31185.940159,1,0.0,0.0,0.0,0.0,0.0,0.0
Strong,2,4,8,8,small_2,application_1772492797887_0361,159.362174,26.392153,196.476710,169.906134,201.735189,158.721498,37.696277,160.835978,1112.403265,1126105,7125259,6.33,115556,0.0162,68962,8560.086492,77522.086492,2,0.0,0.0,0.0,0.0,0.0,0.0
Strong,2,4,8,8,small_2,application_1772492797887_0362,111.860069,21.964122,205.707607,201.902096,238.979584,202.584222,39.916489,187.246962,1211.422788,1226592,7382140,6.02,114445,0.0155,22746,8378.3772,31124.377200000003,3,0.0,0.0,0.0,0.0,0.0,0.0
Strong,4,4,16,8,small_2,application_1772492797887_0373,89.709821,19.502910,110.599942,97.315724,133.580451,100.293350,25.480560,95.956742,673.706492,697843,7523429,10.78,147392,0.0196,225083,8834.351087,233917.351087,1,0.0,0.0,0.0,0.0,0.0,0.0
Strong,4,4,16,8,small_2,application_1772492797887_0376,88.047752,19.655385,110.785296,95.833921,123.740226,93.227507,24.242585,108.829729,665.616856,682447,7312917,10.72,143841,0.0197,100875,7869.290082,108744.290082,2,0.0,0.0,0.0,0.0,0.0,0.0
Strong,4,4,16,8,small_2,application_1772492797887_0378,89.319730,24.480084,125.452370,105.072216,127.508958,99.458595,24.827467,102.959960,700.352437,718670,7270161,10.12,137825,0.019,125500,8752.347767,134252.347767,3,0.0,0.0,0.0,0.0,0.0,0.0
Strong,8,4,32,8,small_2,application_1772492797887_0380,85.071429,16.416427,80.684294,66.180751,84.899968,66.950011,15.755964,65.322615,482.519370,497716,7383878,14.84,159388,0.0216,270813,9449.082517,280262.082517,1,0.0,0.0,0.0,0.0,0.0,0.0
Strong,8,4,32,8,small_2,application_1772492797887_0382,83.695358,13.304623,71.589078,58.568033,75.077448,58.604569,15.492342,58.702912,436.271660,453027,7285738,16.08,143584,0.0197,272472,9259.505297,281731.505297,2,0.0,0.0,0.0,0.0,0.0,0.0
Strong,8,4,32,8,small_2,application_1772492797887_0386,81.774344,19.656673,86.059505,67.569399,85.009690,66.629409,16.340292,61.437650,485.733461,505336,7716881,15.27,161565,0.0209,225653,10349.853319,236002.853319,3,0.0,0.0,0.0,0.0,0.0,0.0
Strong,16,4,64,8,small_2,application_1772492797887_0391,79.184572,16.993415,46.561466,36.231199,46.985413,34.916476,9.463855,35.210927,306.807999,324186,9014732,27.81,224893,0.0249,603985,14394.005486,618379.005486,1,0.0,0.0,0.0,0.0,0.0,0.0
Strong,16,4,64,8,small_2,application_1772492797887_0392,120.638979,17.706543,48.401241,36.150780,45.281554,34.935064,9.927229,35.930989,350.236187,368542,9326003,25.31,224505,0.0241,664437,14498.700023,678935.700023,2,0.0,0.0,0.0,0.0,0.0,0.0
Strong,16,4,64,8,small_2,application_1772492797887_0395,82.213181,17.754042,46.932383,34.432611,44.823410,31.444103,9.255655,32.734284,300.840331,318578,9236754,28.99,211686,0.0229,704378,14257.59087,718635.59087,3,0.0,0.0,0.0,0.0,0.0,0.0
Strong,32,4,128,8,small_2,application_1772492797887_0396,84.421916,17.429260,46.577796,32.606932,40.390574,32.334283,8.962507,29.875732,293.874474,324032,9844821,30.38,257650,0.0262,804141,16802.122378,820943.1223780001,1,0.0,0.0,0.0,0.0,0.0,0.0
Strong,32,4,128,8,small_2,application_1772492797887_0398,80.191937,17.788612,44.374644,29.864226,42.762210,28.682982,8.242672,31.777310,284.939713,315048,10034887,31.85,267683,0.0267,856255,18252.959656,874507.959656,2,0.0,0.0,0.0,0.0,0.0,0.0
Strong,32,4,128,8,small_2,application_1772492797887_0399,97.413495,21.263943,47.845192,30.619026,40.667961,32.479892,8.920679,29.514430,309.965788,340027,10381515,30.53,258681,0.0249,1031226,17662.762809,1048888.762809,3,0.0,0.0,0.0,0.0,0.0,0.0
